Date,Discharge MIMO FFNN,Flow observed,MBC MIMO FFNN,MBC Lin Reg,MBC DA,Random error FFNN,Random error LR
1998-08-25,1014.0373,1020.0,-23.44365,-26.90586019379807,-53.70521926879883,-30.26156997680664,-26.79935907500076
1998-08-26,1175.9006,1170.0,-30.666912,-35.5621680574303,-52.82489013671875,-22.157978057861328,-17.26272207928845
1998-08-27,1268.4502,1270.0,-18.856144,-25.72545457603004,-44.21735382080078,-25.361209869384766,-18.491899244770742
1998-08-28,1295.6624,1310.0,-10.906251,-11.954055702069681,-27.06133651733398,-16.155085563659664,-15.1072808152643
1998-08-29,1254.2906,1280.0,3.5403428,1.8173431718906805,-5.600103378295898,-9.140446186065674,-7.417446550186579
1998-08-30,1187.6947,1210.0,4.7191186,3.784685868170733,-6.765368461608887,-11.484487056732178,-10.55005432977962
1998-08-31,1132.9803,1170.0,5.043383,1.8173431718906805,-2.339423179626465,-7.382806301116943,-4.156766351517145
1998-09-01,1082.6107,1120.0,4.9541326,-0.14999952438937036,-8.118352890014648,-13.072485446929932,-7.968353365625278
1998-09-02,1059.0837,1090.0,0.37267533,-4.084684916949474,-16.10383987426758,-16.476515203714374,-12.019154957318108
1998-09-03,1074.1082,1110.0,-5.253823,-9.986713005789628,-13.93041896820068,-8.676596164703366,-3.9437059624110518
1998-09-04,1092.5425,1140.0,-5.028018,-9.986713005789628,-2.208246231079102,2.819771766662597,7.778466774710527
1998-09-05,1088.3329,1110.0,2.106502,-4.084684916949474,-4.348473072052002,-6.454975128173828,-0.26378815510252807
1998-09-06,1102.4275,1150.0,-19.688852,-17.856083790909835,-19.08993721008301,0.5989151000976527,-1.233853419173176
1998-09-07,1152.863,1200.0,-14.328166,-15.888741094629784,-14.03799152374268,0.29017448425292613,1.8507495708871051
1998-09-08,1339.9823,1330.0,-45.950867,-41.46419614627045,-48.58953475952148,-2.6386680603027273,-7.125338613251024
1998-09-09,1448.4468,1460.0,-9.88003,-23.75811187974999,-12.20455932617188,-2.3245296478271538,11.55355255357811
1998-09-10,1393.742,1370.0,23.064243,9.686713957010886,7.008731365203857,-16.055511951446533,-2.6779825918070284
1998-09-11,1287.2799,1300.0,3.0875478,-0.14999952438937036,-13.55835723876953,-16.645905017852783,-13.408357714380159
1998-09-12,1303.5223,1310.0,-10.589233,-11.954055702069681,-28.67752265930176,-18.08828926086426,-16.72346695723208
1998-09-13,1485.208,1450.0,-52.546974,-43.4315388425505,-66.74488830566406,-14.197914123535156,-23.31334946311356
1998-09-14,1666.2944,1770.0,-132.4721,-80.81105007187149,-125.6809310913086,6.791175842285156,-44.8698810194371
1998-09-15,2253.1504,2480.0,-209.56648,-133.9293028714329,-201.211181640625,8.355300903320312,-67.2818787691921
1998-09-16,2700.3374,3060.0,-107.03691,-76.8763646793114,-12.44169235229492,94.59521865844727,64.43467232701647
1998-09-17,2687.2114,2980.0,-57.72759,-8.019370309509577,0.5938664674758911,58.321455121040344,8.613236776985469
1998-09-18,2750.552,3090.0,-63.642715,-21.79076918346994,1.388577103614807,65.03129255771637,23.179346287084748
1998-09-19,2825.1921,2990.0,-21.757381,1.8173431718906805,25.71164321899414,47.469024658203125,23.89430004710346
1998-09-20,2699.494,2830.0,-4.208468,17.55608474213109,26.42744064331055,30.635908603668216,8.87135590117946
1998-09-21,2482.4856,2570.0,26.85115,41.164197097491716,36.06184387207031,9.210693359375,-5.102353225421403
1998-09-22,2260.3323,2280.0,39.685276,49.03356788261192,45.2640495300293,5.578773498535156,-3.7695183525826224
1998-09-23,2081.3735,2020.0,35.936264,37.22951170493161,26.1519718170166,-9.784292221069336,-11.077539887915009
1998-09-24,1884.4052,1860.0,34.064022,25.4254555272513,27.38221740722656,-6.681804656982425,1.9567618799752573
1998-09-25,1764.5393,1720.0,32.63911,15.588742045851044,13.35140609741211,-19.287704467773438,-2.2373359484389344
1998-09-26,1718.3922,1630.0,13.3943815,9.686713957010886,10.40749263763428,-2.986888885498045,0.7207786806233933
1998-09-27,1644.9102,1570.0,7.3872285,3.784685868170733,7.815546989440918,0.42831850051879883,4.030861121270185
1998-09-28,1556.9352,1510.0,-6.1273813,-0.14999952438937036,-5.222336292266846,0.9050450325012207,-5.072336767877475
1998-09-29,1490.6089,1460.0,-5.5391994,3.784685868170733,-0.04641688615083694,5.492782466113567,-3.83110275432157
1998-09-30,1487.6968,1410.0,12.50423,-0.14999952438937036,-6.356835842132568,-18.86106538772583,-6.206836317743198
1998-10-01,1487.9917,1400.0,0.88206327,-11.954055702069681,-29.73530197143555,-30.617365241050724,-17.78124626936587
1998-10-02,1552.6023,1520.0,-35.38272,-31.6274826648702,-39.28527450561523,-3.9025535583496023,-7.657791840745027
