Date,BONN/flow.bc,KOELN/flow.bc,DUESS/flow.bc,DUISB/flow.bc,WESEL/flow.bc,REES/flow.bc,EMMER/flow.bc
06/02/1996,-6.0249147,12.486645,17.495918,26.755953,2.5516887,4.1206107,0.38479286
07/02/1996,-5.446839,13.262028,18.392029,28.332325,3.7119048,6.1309705,0.63387114
08/02/1996,-2.3474238,15.724657,20.738268,29.83074,3.7421267,5.0859976,0.157806
09/02/1996,-12.443178,8.789408,16.063112,27.878384,4.437338,7.1285973,3.0814557
10/02/1996,-14.947894,5.544246,12.509911,21.439432,0.2577567,2.910267,2.4531753
11/02/1996,-9.619138,6.724588,10.451958,23.75635,-1.7060013,0.41538695,-5.585971
12/02/1996,-10.885565,4.3196135,9.262314,23.91088,7.0778546,-0.7581086,-6.7018423
13/02/1996,-50.82157,-31.792273,-20.160427,10.138878,1.3682299,0.4595268,-5.6885276
14/02/1996,-106.2943,-93.33395,-99.10168,-74.20271,-51.06704,-21.649168,-11.562163
15/02/1996,-33.058167,-35.473072,-58.89922,-74.63565,-82.8455,-70.52628,-40.21709
16/02/1996,37.699406,43.817783,41.88715,25.960182,-11.309274,-21.747112,-23.18501
17/02/1996,16.02411,20.132278,35.56143,60.87369,31.972725,18.424446,3.9328396
18/02/1996,-68.67803,-73.28503,-46.88242,-0.18757142,12.932079,-8.1738,-6.505151
19/02/1996,-195.67375,-216.6998,-208.8673,-128.69824,-79.59632,-81.91605,-43.112465
20/02/1996,-119.06317,-141.83453,-194.92181,-197.06085,-177.4242,-163.46277,-100.474495
21/02/1996,13.367858,6.86547,-8.28747,-45.60445,-75.313034,-78.8548,-52.076164
22/02/1996,71.60108,77.916145,93.69393,91.4987,76.23732,52.16506,24.341793
23/02/1996,62.69292,73.99381,87.53371,104.60141,101.083916,93.20403,53.934185
24/02/1996,53.244972,66.480736,83.88065,91.94493,86.050224,76.58669,51.299934
25/02/1996,28.273993,44.715225,61.090897,73.77501,71.51442,66.79518,45.963318
26/02/1996,22.517628,35.166504,47.516502,60.07107,45.550312,37.079227,23.423235
27/02/1996,-12.547332,1.1274822,8.877716,24.425085,23.334032,23.039345,14.762194
28/02/1996,-23.418468,-16.833069,-15.001055,-2.2432294,0.5018983,3.213413,2.3324485
29/02/1996,-5.4032755,-0.48500398,-1.8585688,4.0364904,0.7041328,-0.050226305,-1.3674265
01/03/1996,3.7896497,11.184614,13.718658,19.046858,15.740208,13.627353,6.507477
02/03/1996,9.534322,19.397903,24.361895,28.242914,23.519108,21.543285,13.028608
03/03/1996,6.3024893,17.815054,23.634518,29.14846,22.640406,22.301329,15.920857
04/03/1996,26.385683,33.148502,38.713722,45.020554,24.53943,18.512207,12.262871
05/03/1996,19.769325,29.540617,37.446064,48.874653,31.360676,27.096304,19.53848
06/03/1996,10.346942,22.178797,30.459162,43.511253,27.943003,25.583366,19.953434
07/03/1996,16.349066,28.236961,36.42347,43.544266,23.19117,22.8217,19.531616
08/03/1996,1.4331902,15.9426,24.73667,38.52924,20.467033,20.294582,16.283169
09/03/1996,-4.7788134,6.484066,12.245449,24.973658,8.26844,10.0698805,10.320029
10/03/1996,10.893264,22.176628,27.922548,33.29057,8.15096,8.335236,8.270824
11/03/1996,2.0648859,15.844117,23.162117,36.293816,13.613377,14.018537,10.933829
12/03/1996,-1.7358223,11.752877,18.101263,32.720707,10.13585,10.89236,6.477908
13/03/1996,4.511098,15.9870205,21.01979,34.512592,10.620787,8.427562,4.321705
14/03/1996,-4.361374,9.233701,15.011861,30.71893,7.8478603,8.553227,3.7760868
15/03/1996,0.9639595,13.33821,17.697977,29.578676,3.5709672,4.253365,0.14129145
16/03/1996,-1.9106394,12.544411,18.945469,33.152252,7.6104584,7.974695,2.9733565
17/03/1996,-4.566136,9.676832,15.972341,30.686764,5.387828,6.860906,2.0470726
18/03/1996,-10.057997,3.9202743,9.546255,27.39301,2.8277228,4.2634945,-1.7995061
19/03/1996,-8.355232,3.2602043,6.296336,21.159029,-2.77174,-0.13929483,-4.501875
20/03/1996,-20.034666,-6.7629294,-2.1310778,17.456474,-3.4193254,0.71195614,-4.5950837
21/03/1996,-17.00766,-7.5688396,-5.042875,8.817144,-12.550685,-6.265066,-5.3851905
22/03/1996,-26.833925,-18.697145,-14.602304,3.4006357,-16.354374,-8.466986,-8.9470415
23/03/1996,-30.409206,-25.109957,-23.318033,-8.080147,-24.96109,-12.22635,-10.2278
24/03/1996,-46.43343,-37.312862,-35.821415,-16.830048,-26.73291,-12.232319,-9.840051
25/03/1996,-89.90377,-82.82962,-90.58869,-66.5633,-60.388824,-32.657764,-16.854156
26/03/1996,-43.49175,-44.407646,-61.593754,-62.26495,-66.17616,-48.58582,-28.72276
27/03/1996,-16.546453,-11.182458,-17.95726,-18.927296,-25.640623,-21.103853,-13.262396
28/03/1996,-11.645531,-1.5938313,-5.3329206,2.1461916,-2.4678211,1.6839241,1.5405334
29/03/1996,-19.60911,-5.4683495,-6.8894067,1.569646,1.1232151,3.3311536,4.5851946
30/03/1996,-14.269737,-3.4405138,-2.6131482,2.730129,-0.8578708,-2.7001712,1.2540723
31/03/1996,11.374707,20.836458,24.261604,22.24415,10.685288,4.337495,4.2178335
01/04/1996,13.990037,27.69029,35.529152,36.308247,27.396555,22.189001,15.833011
02/04/1996,16.743134,30.202402,37.783455,47.29191,34.220203,30.974028,20.386358
03/04/1996,7.532277,21.933928,27.372528,41.612854,31.337984,30.442165,21.06516
04/04/1996,5.496134,19.651373,23.527454,36.783184,24.315125,24.077482,17.124725
05/04/1996,5.0462646,19.90558,24.822977,37.298885,22.753166,22.77196,17.642864
06/04/1996,-4.271152,11.000993,14.742329,28.757208,17.173342,18.829756,16.434381
07/04/1996,1.815277,16.022522,19.60744,30.51164,14.357212,15.1993685,12.386668
08/04/1996,7.8575735,21.996897,25.795465,35.3385,15.974393,16.194351,11.781797
09/04/1996,-12.647212,4.320874,10.131428,30.319864,18.94329,20.698124,15.415064
10/04/1996,-7.7914915,5.5132136,7.538974,22.680271,8.293643,11.199115,8.598115
11/04/1996,-6.743473,7.748455,10.775761,23.885212,7.047225,9.588032,6.3722568
12/04/1996,-6.0038,9.894947,12.637102,21.464493,4.484476,6.0673027,5.745371
13/04/1996,-11.234632,3.434764,5.9081354,16.248291,0.94731414,5.197597,6.4233956
14/04/1996,-18.347376,-3.4036095,-1.9143311,9.386669,-3.1938663,2.8223503,5.6895847
15/04/1996,-8.713479,3.4692655,0.7473539,8.383741,-7.411779,-1.5441093,-2.5729737
16/04/1996,-8.38543,3.9014034,1.9836336,10.217371,-2.745267,2.1086857,-1.4280387
17/04/1996,3.1975133,15.434289,13.501231,18.662498,1.8775933,5.655233,-0.23710136
18/04/1996,4.7579584,19.375296,20.121054,30.583538,13.938903,15.70073,6.7932434
19/04/1996,5.777442,20.877008,22.86811,32.38627,15.721648,17.832073,8.7226515
20/04/1996,1.2798423,17.123781,20.493969,31.99843,16.163427,18.41371,9.006059
21/04/1996,-4.651889,12.846285,16.150928,30.468304,12.1652355,15.70734,6.748824
22/04/1996,-8.014111,8.050089,10.060193,22.491705,6.6177135,11.0170965,3.1534991
23/04/1996,-11.681707,5.2826886,8.367841,23.61784,6.799921,10.614496,2.0447626
24/04/1996,-15.257686,1.8350694,4.8965898,17.830175,4.061876,8.678035,3.1901445
25/04/1996,-21.247105,-4.4740415,-1.8778611,11.64992,-0.23696734,2.9900267,-1.4898056
26/04/1996,-16.580742,-1.6270754,-0.95432436,11.38508,-3.1711636,3.7667735,-4.073858
27/04/1996,-12.744644,2.9406085,4.2493663,14.061473,-1.7417564,3.8468359,-2.5012586
28/04/1996,-10.907784,5.505331,6.3799424,18.257084,0.67795324,6.264344,-0.32452255
29/04/1996,-16.10306,0.71605325,1.9802397,19.244446,2.5654643,8.649117,0.19756134
30/04/1996,-4.934387,9.493321,9.017385,18.969772,-1.0889833,3.837354,-0.701219
01/05/1996,-8.227892,8.586205,10.729545,24.601248,1.9957424,6.6701317,-1.0956143
02/05/1996,-36.603287,-11.854652,-1.8268672,9.385074,-2.1368093,-3.6733365,0.7062975
03/05/1996,-42.273533,-22.771734,-16.218904,-3.1840348,-11.400867,-11.469608,-4.492772
